(37867, 0.000437, 0.00964, 8.155758599419215, 0.44093677, 0.004250630501508712, [0.76439214, 0.3207612, -0.55930036], 0.17868477, 0.00041112097)
(127954, 0.000157, 0.009869, 8.15359835579929, 0.8416197, 0.008305944527089595, [-0.7143281, 0.5817596, -0.38896155], 0.27605218, 0.00042593078)
(153332, 0.000104, 0.000667, 8.153728273878306, 0.53357697, 0.00035589583587646484, [nan, nan, nan], 0.0036763356, 0.00047413827)
(202337, 0.000479, 0.009601, 8.155887872967394, 0.7415695, 0.0071198089523315435, [-0.34150362, -0.8192945, -0.46057773], 0.25723743, 0.011191864)
(306944, 0.000132, 0.009928, 8.155025321577796, 0.78549474, 0.0077983918261528016, [nan, nan, nan], 0.08513963, 0.0102103)
(440425, 0.000195, 0.000633, 8.156189361686135, 0.75399464, 0.00047727860945463187, [0.334682, 0.068883225, 0.9398101], 0.016185608, 0.0007073712)
(581392, 0.000103, 0.001531, 8.152948181794073, 0.766684, 0.001173793197453022, [nan, nan, nan], 0.019812467, 0.001327987)
(637145, 0.000128, 0.001989, 8.154723023412823, 0.79465914, 0.0015805770249366759, [nan, nan, nan], 0.033775996, 0.00206623)
(648789, 0.000166, 0.001924, 8.153555041134922, 0.6830062, 0.0013141039807796477, [-0.341601, 0.113464944, 0.93297076], 0.020635866, 0.004515931)
(41225, 0.00036, 0.00064, 8.163490035587623, 0.35305095, 0.00022595260620117186, [0.633147, 0.7712079, 0.066054955], 0.08732152, 0.0009740606)
(130685, 0.000344, 0.009929, 8.164082351582666, 0.7182464, 0.007131468509137631, [-0.59687, 0.004153076, 0.8023273], 0.26101387, 0.016094083)
(359417, 0.000133, 0.000882, 8.164166902246206, 0.45376432, 0.00040022012972831724, [nan, nan, nan], 0.10136726, 0.000604983)
(505058, 0.000105, 0.000915, 8.164378206917286, 0.8203179, 0.0007505909004807472, [nan, nan, nan], 0.13384567, 0.0005461863)
(660184, 0.000223, 0.000809, 8.164884919058661, 0.6837406, 0.0005531461582183838, [0.53212374, -0.65416485, 0.537506], 0.08623902, 0.0018492078)
(2090002, 0.000308, 0.009958, 8.163828600782631, 0.73057455, 0.007275061351418495, [-0.77329266, -0.0012582251, -0.634048], 0.007641073, 0.0082138255)
(28544, 0.000991, 0.009308, 8.16526456556306, 0.7857973, 0.007314201249361039, [-0.23824827, -0.64333063, 0.72757363], 0.26830727, 0.0007912584)
(185821, 0.000198, 0.000508, 8.169711162417906, 0.59154147, 0.0003005030663013458, [nan, nan, nan], 0.085792385, 0.0018203501)
(196215, 0.000432, 0.000255, 8.168917472478716, 0.16463745, 4.198254883289338e-05, [0.91294765, -0.18404226, 0.3642183], 0.024589371, 0.0009366912)
(203454, 0.000188, 0.000441, 8.166485618282223, 0.8344966, 0.000368013008236885, [0.70138544, -0.67695564, -0.22313537], 0.10205802, 0.00020003194)
(222753, 0.000119, 0.009894, 8.17170983661962, 0.827679, 0.008189055812716485, [nan, nan, nan], 0.08467249, 0.0035277167)
(283476, 0.000197, 7.9e-05, 8.170128312082005, 0.0035896387, 2.835814605932683e-07, [nan, nan, nan], 0.5194698, 0.00082880526)
(321067, 0.000121, 0.002689, 8.16547533697312, 0.7971265, 0.0021434730831980703, [nan, nan, nan], 0.022302339, 0.00044993233)
